Data,Adreça,Adreça geo,Hora,Entitat,Latitude,Longitude,data,direccio,direccio geo,demandant,resolucio,hashtag,rao,latitude,longitude,match
10/01/2018,,,,,,,10/1/2018,"C/ Sant Crist, 61, entlº 1ª de Barcelona (08018)","Carrer del Sant Crist, 61, 1ª, 08014 Barcelona, Spain",Inmb.,SUSPÈS,#SoluciónParaAmina,Desnonaments per lloguer,41.3743155,2.1375932,
10/01/2018,,,,,,,10/1/2018,"C/ de París, 146",,Inmb.,DESCONVOCAT,#SoluciónParaWenderson,Desnonaments per lloguer,,,
26/01/2018,,,,,,,26/1/2018,"Gran Vía de les Corts Catalanes, 149 – 151, 3º1ª de Barcelona 08014 (Sants)","Gran Via de les Corts Catalanes, 149, 08014 Barcelona, Spain",HIPOCAT 7 FTA,SUSPÈS,#BonifacioSeQueda,Desnonaments per hipoteca,41.366264,2.1370381,
30/01/2018,,,,,,,30/1/2018,"C/ Sant Antoni dels Sobrerets, 1 de Barcelona (08003)","Carrer de Sant Antoni dels Sombrerers, 1, 08003 Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaSaadia,Desnonaments per lloguer,41.3840868,2.181626,
01/02/2018,Av. Catalunya 104 – 106 <M> Torrassa,"Av. de Catalunya, 104, 08930 Sant Adrià de Besòs, Barcelona, Spain",10:30,Grup Habitatge de Sants,41.42852,2.2223,,,,,,,,,,
02/02/2018,,,,,,,2/2/2018,"C/ Joaquim Valls, 119, entlº 1ª de Barcelona (08042)","Carrer de Joaquim Valls, 119, 1ª, 08042 Barcelona, Spain","CATALUNYA BANC, S.A",SUSPES,#PedroSeQueda,Desnonaments per hipoteca,41.4448136,2.1776666,
02/02/2018,,,,,,,2/2/2018,"Campreciós, 21, 2ª1ª de Barcelona (Nou Barris 08042)","Carrer de Campreciós, 21, 08042 Barcelona, Spain",BANKIA,SUSPES,,Desnonaments per ocupació,41.4466477,2.1772054,
05/02/2018,,,,,,,5/2/2018,"C/. Ferran, 39, entlº 2ª de Barcelona (08002 Gotic)","Carrer de Ferran, 39, 2ª, 08002 Barcelona, Spain",Inmb,ATURAT en porta,#SoluciónParaEduardo,Desnonaments per lloguer,41.3818234,2.175795,
05/02/2018,"Carrer del Dr. Giné i Partagàs 53, baixos","Carrer del Dr. Giné i Partagàs, 53, 08003 Barcelona, Spain",10:00,Comissió de Vivenda de la Barceloneta,41.3798543,2.1909712,,,,,,,,,,
06/02/2018,,,,,,,6/2/2018,"Josep María Trias de Bes, 3, 2º2ª de San Juan Despi (Barcelona)","Carrer Josep Maria Trias de Bes, 3, 08970 Sant Joan Despí, Barcelona, Spain",BBVA,SUSPES,#SounyaSeQueda,Desnonaments per hipoteca,41.3674554,2.0713648,
06/02/2018,,,,,,,6/2/2018,"Avda. Diagonal, 306, esc. 5, 1º B de Barcelona (08013)","Avinguda Diagonal, 306, esc. 5, 1º, 08013 Barcelona, Spain",Administrador De Infraestructuras Ferroviarias (A.D.I.F.),ATURAT en porta,#JoseLuisSeQueda,Desnonaments per lloguer,41.4024225,2.1818575,
06/02/2018,,,,,,,6/2/2018,"C/ Maresme, 197, 7º1ª de Barcelona (08020 Sant Martí)","Barcelona, Spain",Inmb,ATURAT en porta,#SolucionParaSara,Desnonaments per lloguer,41.3850639,2.1734035,
08/02/2018,"C/ Roviralta, 15","Carrer de Teodor Roviralta, 15, 08022 Barcelona, Spain",11:30,PAH Gramenet,41.41308,2.13376,,,,,,,,,,
08/02/2018,C/ Rasos de Peguera 70 i 90,"Av. dels Rasos de Peguera, 70, 08033 Barcelona, Spain",09:00,️ AAVV Ciutat Meridiana,41.4599452,2.1761501,,,,,,,,,,
08/02/2018,C/ Campreciós 21,"Carrer de Campreciós, 21, 08042 Barcelona, Spain",08:30,️ PAH Barcelona,41.4466477,2.1772054,,,,,,,,,,
08/02/2018,C/ Alcalde de Zalamea 12-14,"Carrer l'Alcalde de Zalamea, 12, 08032 Barcelona, Spain",09:30,️ 500x20,41.421869,2.156563,,,,,,,,,,
09/02/2018,,,,,,,9/2/2018,"C/ Vila Joiosa, 17-19, 1º4ª de Barcelona (08003 Barceloneta)","Carrer de la Vila Joiosa, 17, 08003 Barcelona, Spain",Inmb.,ATURAT en porta,#SoluciónParaFair,Desnonaments per lloguer,41.3795727,2.1907076,
09/02/2018,C/ Vilajoiosa 17,"Carrer de la Vila Joiosa, 17, 08003 Barcelona, Spain",08:30,️ PAH Barcelona,41.3795727,2.1907076,,,,,,,,,,
09/02/2018,Avinguda Paral•lel 105,"Avinguda del Paral·lel, 105, 08004 Barcelona, Spain",09:00,️ Sindicat de  Barri de Poble Sec,41.3747242,2.162638,,,,,,,,,,
09/02/2018,C/ Milans 2,"Carrer de Milans, 2, 08002 Barcelona, Spain",10:30,Resistim al Gòtic,41.3804675,2.1790163,,,,,,,,,,
13/02/2018,,,,,,,13/2/2018,"Carretera Bordeta, 40, 1º2ª de Barcelona  (08014 Hostafranc)","Carretera de la Bordeta, 30, 08014 Barcelona, Spain","FRANDIT, S.L. MARXEN",MARXEN,,Desnonaments per lloguer,41.3738172,2.1462883,
13/02/2018,,,,,,,13/2/2018,"C/ Violant d’Hongria Reina d’Aragó, 40, 3º2ª de Barcelona","Carrer de Violant d'Hongria Reina d'Aragó, 105, 08028 Barcelona, Spain","BANCO POPULAR ESPAÑOL, S.A.",ATURAT en porta,#MarcosSeQueda,Desnonaments per ocupació,41.3794092,2.1318161,
13/02/2018,C/ Flor i Cel 2,"Carrer Flor i Cel, 2, 08923 Santa Coloma de Gramenet, Barcelona, Spain",10:30,PAH Gramenet,41.4463825,2.2169684,,,,,,,,,,
13/02/2018,C/ Mossèn Jacint Verdaguer 34,"Carrer de Mossèn Jacint Verdaguer, 34, 08923 Santa Coloma de Gramenet, Barcelona, Spain",11:30,PAH Gramenet,41.4469092,2.2118405,,,,,,,,,,
13/02/2018,C/ Sant Francesc 24,"Carrer de Sant Francesc, 24, 08005 Barcelona, Spain",12:00,PAH Gramenet,41.3985346,2.2060857,,,,,,,,,,
