Data,Adreça,Adreça geo,Hora,Entitat,Latitude,Longitude
01/02/2018,Av. Catalunya 104 – 106 <M> Torrassa,"Av. de Catalunya, 104, 08930 Sant Adrià de Besòs, Barcelona, Spain",10:30,Grup Habitatge de Sants,41.42852,2.2223
05/02/2018,"Carrer del Dr. Giné i Partagàs 53, baixos","Carrer del Dr. Giné i Partagàs, 53, 08003 Barcelona, Spain",10:00,Comissió de Vivenda de la Barceloneta,41.3798543,2.1909712
08/02/2018,"C/ Roviralta, 15","Carrer de Teodor Roviralta, 15, 08022 Barcelona, Spain",11:30,PAH Gramenet,41.41308,2.13376
15/02/2018,"C/ Sant Climent, 12","Carrer d'En Sant Climent, 12, 08001 Barcelona, Spain",09:15,️ Veines Raval,41.3787769,2.165289
08/02/2018,C/ Rasos de Peguera 70 i 90,"Av. dels Rasos de Peguera, 70, 08033 Barcelona, Spain",09:00,️ AAVV Ciutat Meridiana,41.4599452,2.1761501
09/02/2018,C/ Vilajoiosa 17,"Carrer de la Vila Joiosa, 17, 08003 Barcelona, Spain",08:30,️ PAH Barcelona,41.3795727,2.1907076
08/02/2018,C/ Campreciós 21,"Carrer de Campreciós, 21, 08042 Barcelona, Spain",08:30,️ PAH Barcelona,41.4466477,2.1772054
08/02/2018,C/ Alcalde de Zalamea 12-14,"Carrer l'Alcalde de Zalamea, 12, 08032 Barcelona, Spain",09:30,️ 500x20,41.421869,2.156563
09/02/2018,Avinguda Paral•lel 105,"Avinguda del Paral·lel, 105, 08004 Barcelona, Spain",09:00,️ Sindicat de  Barri de Poble Sec,41.3747242,2.162638
09/02/2018,C/ Milans 2,"Carrer de Milans, 2, 08002 Barcelona, Spain",10:30,Resistim al Gòtic,41.3804675,2.1790163
14/02/2018,C/ Rasos de Peguera 74 i 112,"Av. dels Rasos de Peguera, 74, 08033 Barcelona, Spain",12:00,️ AAVV Ciutat Meridiana,41.4606122,2.1768723
15/02/2018,C/ Ferrocarrils Catalans 75-77,"Carrer dels Vergós, 44, 08017 Barcelona, Spain",09:00,XSM La Marina - Zona Franca,41.3973229,2.1265586
13/02/2018,C/ Flor i Cel 2,"Carrer Flor i Cel, 2, 08923 Santa Coloma de Gramenet, Barcelona, Spain",10:30,PAH Gramenet,41.4463825,2.2169684
13/02/2018,C/ Mossèn Jacint Verdaguer 34,"Carrer de Mossèn Jacint Verdaguer, 34, 08923 Santa Coloma de Gramenet, Barcelona, Spain",11:30,PAH Gramenet,41.4469092,2.2118405
13/02/2018,C/ Sant Francesc 24,"Carrer de Sant Francesc, 24, 08005 Barcelona, Spain",12:00,PAH Gramenet,41.3985346,2.2060857
14/02/2018,Via Favència 293-295,"Via Favència, 293, 08033 Barcelona, Spain",10:30,500x20,41.4467339,2.1828528
15/02/2018,"C/ Aviador Franco, 12","Carrer l'Aviador Franco, 12, 08038 Barcelona, Spain",09:00,️ XSM La Marina - Zona Franca,41.3605456,2.141324
